
Dataset,Year,Modality,Application,#Views,Resolution,Overlap,Repository
HM3D-ABO,2022,Image,3D reconstruction,10,640x480,Yes,https://github.com/zhenpeiyang/HM3D-ABO
RTMV,2022,Image,Novel view synthesis,150,1600x1600,Yes,https://www.cs.umd.edu/~mmeshry/projects/rtmv/
Things3D,2020,Image,3D object reconstruction,24,256x256,No,https://github.com/hzx/Pix2Vox
MvCars,2023,Image,Fine-grained recognition,7,1920x1080,Yes,https://github.com/PRIS-CV/MAFR
HM3D,2021,Image,Embodied AI,4,256x256,Yes,https://github.com/facebookresearch/habitat-matterport3d-dataset
MVP-N,2022,Image,Object classification,20,1920x1080,Yes,https://github.com/SMNURResearch/MVP-N
DeepLesion,2018,Medical (CT),Lesion detection,volumetric,variable,N/A,https://nihcc.app.box.com/v/DeepLesion
LIDC-IDRI,2011,Medical (CT),Lung nodule analysis,volumetric,512x512,N/A,https://www.kaggle.com/datasets/zhangweiled/lidcidri
xView,2018,Remote Sensing,Object detection,single nadir,0.3m GSD,N/A,https://www.kaggle.com/datasets/hassanmojab/xview-dataset
DOTA-v2.0,2021,Remote Sensing,Object detection,aerial,800-13K px,N/A,https://captain-whu.github.io/DOTA/
WHU-Hi,2020,Remote Sensing,Land cover classification,270 hyper,5.2 km²,Yes,https://rsidea.whu.edu.cn/resource.WHUHi_sharing.htm
SpaceNet 8,2021,Remote Sensing,Change detection,multi-temporal,0.3-0.5m GSD,N/A,https://spacenet.ai/
Fit3D,2021,Video (Sport),3D human pose,16,900x900,No,https://fit3d.imar.ro/
OpenTTGames,2020,Video (Sport),Table tennis analysis,7,1920x1080,Yes,https://lab.osai.ai/
Ski-Pose PTZ,2018,Video (Sport),3D human pose,6,256x256,Yes,https://www.epfl.ch/labs/cvlab/data/ski-poseptz-dataset/
FTV360,2019,Video (FTV),360° view synthesis,40,3840x1920,No,https://project.inria.fr/ftv360/
UCSD,2021,Video (Novel view),View synthesis,10,640x360,No,https://cse.ucsd.edu/
